Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
147048,84730338,100.776,24.1695,6.41408,97.6247,25.0061,2.07117,0.2594,1,29.5308,8.18645,0.671412,28.3655,8.21394,1.95282,0.0818319,-1
147048,178845775,4.53138,1.68533,-3.44064,2.41973,3.83123,0.595716,-1.11532,1,20.6461,7.97718,-11.0019,15.543,13.5896,0.979457,-0.94344,-1
147048,178998802,12.2606,5.96606,10.464,2.28778,12.0453,0.188808,1.05261,-1,8.58,6.80429,5.18892,0.62696,8.55706,0.0732027,0.651514,1
147048,190390441,17.4407,4.4276,3.94166,-16.4024,5.92793,-1.74206,0.7274,-1,52.5113,12.3288,6.20241,-50.6652,13.801,-2.0117,0.466112,1
147048,219429558,4.79687,1.89692,3.06135,3.16856,3.60141,0.793784,1.01607,1,17.8805,10.5519,8.88664,11.3753,13.7955,0.751738,0.699939,1
147048,294481225,21.0284,15.7336,-8.45506,11.0976,17.8615,0.587015,-0.493109,1,5.8334,5.2448,-1.96848,1.62655,5.60204,0.286418,-0.359052,-1
147048,362217857,13.7093,9.67178,7.84592,-5.73086,12.454,-0.445299,0.681544,1,7.01544,4.76202,2.4587,-4.52706,5.3593,-0.767203,0.476613,-1
147048,396713943,6.00422,-3.98278,-2.17242,3.93303,4.53673,0.784083,-2.64225,1,11.3532,-2.73824,-2.17157,10.802,3.49481,1.84679,-2.4711,-1
147048,401833418,19.281,-8.78886,-12.8665,11.3562,15.5818,0.676114,-2.17008,1,4.91874,-0.779269,-3.82734,2.98968,3.90587,0.705448,-1.77166,-1
147048,455669405,18.3772,14.187,5.56431,-10.2707,15.2392,-0.631211,0.373774,1,7.31689,4.50131,1.64797,-5.52804,4.79349,-0.98569,0.350953,-1
