Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
GT,140124,1026963016,7.4028,0.603962,1.57688,7.20687,1.688585394,2.157740944,1.205021091,-1,5.06638,0.104795,-1.71747,4.76407,1.720664172,1.742662311,-1.509854805,1
GT,140124,1027505451,4.51512,-3.14206,3.23255,-0.230669,4.507984089,-0.051146689,2.342000065,-1,4.49105,-3.84492,1.20066,1.98327,4.028026097,0.474374902,2.838915717,1
GT,140124,1027538876,11.7444,0.408408,-3.42644,11.2255,3.450693868,1.895587473,-1.452162924,1,4.14842,-1.53378,-0.886807,3.74958,1.77169629,1.494502219,-2.617368833,-1
GT,140124,1027580075,7.17596,-1.18238,-2.37864,6.66538,2.656303957,1.650667912,-2.032107106,1,3.93833,0.688838,0.331368,3.862,0.764396848,2.322653574,0.44837593,1
GG,140124,1027773507,8.84609,3.02174,3.18878,-7.67743,4.393088949,-1.324714077,0.812287979,-1,7.27821,-0.0212938,3.785,-6.21567,3.785059897,-1.271117977,1.576422106,1
GG,140124,1028379921,11.2716,2.47091,-1.35369,-10.9133,2.817423086,-2.06356726,-0.50119165,1,5.45103,2.9643,0.239841,-4.56706,2.973986919,-1.214387428,0.080733961,1
GT,140124,1029198944,5.02963,-0.0678597,3.80332,-3.28879,3.803925336,-0.782305061,1.588636661,-1,3.16011,-0.891631,-0.227877,-3.02129,0.920290045,-1.904325188,-2.89137553,-1
GT,140124,1029669923,6.65068,-1.72065,1.87699,-6.14301,2.546316532,-1.614238179,2.312765548,-1,6.53425,1.3737,1.30367,-6.2529,1.893833984,-1.909771247,0.759247861,1
GT,140124,1029887875,11.1118,0.307876,3.4909,-10.5442,3.504450091,-1.821226547,1.482830052,1,3.61794,-0.770662,-0.41869,-3.50843,0.877052584,-2.094773291,-2.64391863,-1
GG,140124,1029896710,8.54344,-1.40737,-0.897128,8.37816,1.668990403,2.316333027,-2.574090585,-1,11.0632,-2.6597,-4.42435,9.78436,5.162255032,1.395837791,-2.112061318,1
