Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET
146944,187371853,77.60926731,5.12517891,25.19061266,-73.2280874,25.7067,-1.76945,1.37008,-1,24.9905,-1.72214
146944,404967071,98.78110625,-25.47561097,-17.85672641,-93.75407381,31.1106,-1.82273,-2.53024,1,49.3213,1.08716
146944,405475869,38.90382155,-8.876284165,29.70663897,-23.49943293,31.0044,-0.699486,1.86115,1,21.1374,-1.45696
146944,411996621,161.0252394,-2.357700988,45.0965103,-154.5634581,45.1581,-1.94427,1.62303,1,24.2702,-1.33503
146944,416105289,105.5357955,-38.39071075,-2.783684688,-98.26595238,38.4915,-1.66671,-3.06921,1,16.1052,-1.16148
146944,440132541,112.1279093,24.56706129,38.51203339,-102.4008772,45.6806,-1.54677,1.00297,-1,62.6804,-2.3371
146944,440725604,42.28076575,10.49376247,-23.6809918,33.41771335,25.9019,1.07244,-1.15367,-1,38.9359,1.63659
146944,461546345,139.5085075,-88.29568302,38.42253563,-100.9464889,96.2934,-0.915133,2.73115,-1,34.8374,-1.54986
146944,461719133,152.551435,-18.49256022,47.15785261,143.8961129,50.6541,1.76685,1.94451,1,27.8902,-0.542291
146944,462516534,111.6542942,23.36384157,-25.27064957,106.2176794,34.4162,1.84538,-0.824585,-1,35.9613,2.2827
