Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
147048,53058665,19.3707,0.902116,16.7683,9.65582,16.7926,0.547274,1.51705,-1,3.23606,3.08451,-0.00338108,0.978714,3.08451,0.312203,-0.00109615,1
147048,63711678,21.0496,18.8263,3.53848,-8.72534,19.156,-0.44105,0.185786,-1,12.016,11.8623,1.19276,1.49922,11.9221,0.125422,0.100213,1
147048,83793336,3.36876,1.1215,2.96009,1.15268,3.16542,0.356544,1.20863,-1,21.9437,-2.61643,5.68517,21.0324,6.25834,1.92673,2.00212,1
147048,91954668,10.8283,3.41895,-1.85578,-10.1054,3.89013,-1.68291,-0.497292,1,12.4231,-4.83851,4.19182,-10.6467,6.40176,-1.28195,2.42769,1
147048,119513070,3.86246,-1.10213,-3.61525,0.796174,3.77951,0.209128,-1.8667,1,53.2647,-3.91898,-34.2865,40.5735,34.5097,1.00033,-1.6846,1
147048,278792496,27.5907,14.6098,-8.23898,-21.9071,16.7728,-1.08217,-0.513479,-1,6.69293,-0.741588,-5.21828,-4.12491,5.27071,-0.719031,-1.71196,1
147048,286541655,29.6267,-12.4783,7.77891,25.7201,14.7044,1.32547,2.58415,-1,3.27422,-3.09707,0.71613,0.784725,3.17879,0.244422,2.91436,-1
147048,294545956,22.7677,-8.97655,-8.45002,19.1412,12.3281,1.22362,-2.3864,-1,26.5916,0.519497,-9.93034,24.6623,9.94392,1.63983,-1.51853,1
147048,296437293,12.4383,-1.91404,2.44024,12.0455,3.10134,2.06618,2.23593,1,49.5865,0.346494,-12.6632,47.941,12.6679,2.04106,-1.54344,-1
147048,404284352,15.8206,-11.2663,-8.09781,7.60182,13.8746,0.523634,-2.51839,-1,4.96068,2.97204,-1.81099,3.53492,3.48033,0.89242,-0.54726,1
