Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
GSF-GSF,143953,50358018,68.29664376,30.54461332,-27.13598909,54.72747246,40.8575,1.10229,-0.726372,1,91.89164742,-35.79037016,26.95319466,80.2287328,44.8043,1.34589,2.49612,-1
GSF-GSF,143953,56340815,77.07789368,46.67228157,-36.10516846,-49.58948111,59.0075,-0.7639,-0.658428,1,36.01483201,-10.63542883,33.21732139,-8.975819616,34.8784,-0.254587,1.88066,-1
GSF-GSF,143953,142395649,61.29162277,18.65305206,-58.12786505,-5.466074906,61.0474,-0.089419,-1.26028,1,34.82947984,-19.75763823,28.26321947,-4.89068733,34.4844,-0.141352,2.18089,-1
GSF-GSF,143953,184683517,191.6589484,-1.831913046,66.90572534,179.5923732,66.9308,1.71322,1.59817,1,162.6265701,31.53210707,-17.33915939,158.5953375,35.985,2.18903,-0.502758,-1
GSF-GSF,143953,398028458,57.19975281,-11.92534178,26.02845177,49.51886149,28.6303,1.31573,2.00042,1,40.40151027,-9.0487295,-37.40969295,-12.2848443,38.4885,-0.313997,-1.80812,-1
GSF-GSF,143953,419494169,274.3172517,28.52671935,76.41373695,261.9105223,81.5649,1.88316,1.2135,1,220.6724224,27.20338986,-22.91802893,217.7867249,35.5705,2.51175,-0.700106,1
GSF-GSF,143953,540302969,47.76205046,11.35460278,34.05747665,-31.50198,35.9004,-0.792036,1.24899,-1,41.04302058,-8.825839725,-25.90350484,30.58827436,27.3658,0.962238,-1.89918,1
GSF-GSF,143953,610399067,44.51177582,-28.76662891,-12.43564721,-31.6090798,31.3395,-0.887443,-2.73356,1,45.65072209,38.8469838,23.79949324,-2.91279901,45.5577,-0.063893,0.549667,-1
GSF-GSF,143953,665982708,135.6825778,4.672367358,30.92219303,-132.0293486,31.2732,-2.14715,1.42083,-1,185.2446778,-20.98951712,-52.60688605,-176.3733154,56.6396,-1.85388,-1.95043,1
GSF-GSF,143953,732391200,98.00673146,-45.15208171,4.737133839,-86.85717294,45.3999,-1.40411,3.03706,1,66.09457592,34.09914471,-32.32090999,-46.48763356,46.9829,-0.8739,-0.758632,-1
