Type,Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
GG,146511,25348583,61.0157,15.7547,-32.8207,-48.9643,36.4061,-1.10556,-1.12326,-1,34.4824,-15.1954,30.4817,5.38449,34.0592,0.157441,2.03325,1
GG,146511,26388918,20.5294,2.838,-5.94411,-19.4438,6.58685,-1.80313,-1.12535,-1,51.4052,2.21561,13.7108,49.4933,13.8887,1.98304,1.41059,-1
GG,146511,39164278,38.1641,29.432,-23.9165,-4.27177,37.9241,-0.112403,-0.682379,1,50.5314,-41.6348,27.1392,-9.1334,49.6991,-0.182755,2.56392,-1
GG,146511,39373415,39.0975,13.8402,-36.5176,-1.87462,39.0524,-0.0479843,-1.20852,-1,39.4922,-13.9802,36.8847,1.92203,39.4453,0.0487071,1.93309,1
GG,146511,39455809,106.407,26.1326,0.283827,-103.147,26.1341,-2.08174,0.0108606,-1,56.7227,-29.1823,-2.37726,-48.5818,29.279,-1.27999,-3.06031,1
GG,146511,41088708,150.701,-6.64116,48.9299,-142.382,49.3786,-1.78094,1.7057,1,100.788,6.36064,-33.088,-94.9895,33.6938,-1.75966,-1.38088,-1
GG,146511,41796312,33.8041,-2.43405,-13.8893,-30.7225,14.1009,-1.52084,-1.74428,1,13.6291,-1.7527,3.2143,13.1278,3.66111,1.98901,2.07001,-1
GG,146511,42201138,21.8728,-11.1639,-8.83193,-16.6065,14.235,-0.994408,-2.47229,-1,25.1676,8.86708,2.63242,23.4061,9.24958,1.6585,0.288588,-1
GG,146511,42280762,33.6989,-15.0661,27.9646,-11.2517,31.7648,-0.347201,2.06497,-1,33.5239,14.9866,-27.8322,11.163,31.6106,0.346186,-1.07685,1
GG,146511,44775223,21.0113,4.55643,-20.3751,2.35708,20.8784,0.112657,-1.35079,-1,22.2092,-4.8094,21.5419,-2.46087,22.0722,-0.111262,1.79045,1
